"","REG","PROV","NOME_REGIONE","NOME_PROVINCIA","NOME_COMUNE","COD_PROVCOM","TIPO_COMUNE","CL_ETA","GE","M_15","M_16","M_17","M_18","M_19","M_20","F_15","F_16","F_17","F_18","F_19","F_20","T_15","T_16","T_17","T_18","T_19","T_20"
"1",3,98,"Lombardia","Lodi","Bertonico",98002,3,13,209,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"2",3,98,"Lombardia","Lodi","Bertonico",98002,3,13,304,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"3",3,98,"Lombardia","Lodi","Bertonico",98002,3,15,219,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"4",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,220,0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d.",0,0,1,0,0,"n.d."
"5",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,316,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"6",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,320,0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d.",0,0,0,0,1,"n.d."
"7",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,328,0,1,0,0,0,"n.d.",0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"8",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,406,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"9",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,412,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"10",3,98,"Lombardia","Lodi","Bertonico",98002,3,16,426,0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"11",3,98,"Lombardia","Lodi","Bertonico",98002,3,17,108,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"12",3,98,"Lombardia","Lodi","Bertonico",98002,3,17,220,0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d.",0,0,0,0,1,"n.d."
"13",3,98,"Lombardia","Lodi","Bertonico",98002,3,17,306,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"14",3,98,"Lombardia","Lodi","Bertonico",98002,3,17,309,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"15",3,98,"Lombardia","Lodi","Bertonico",98002,3,18,113,0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"16",3,98,"Lombardia","Lodi","Bertonico",98002,3,18,122,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"17",3,98,"Lombardia","Lodi","Bertonico",98002,3,18,330,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"18",3,98,"Lombardia","Lodi","Bertonico",98002,3,19,112,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"19",3,98,"Lombardia","Lodi","Bertonico",98002,3,19,128,0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d.",0,0,1,0,0,"n.d."
"20",3,98,"Lombardia","Lodi","Bertonico",98002,3,19,202,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"21",3,98,"Lombardia","Lodi","Bertonico",98002,3,19,426,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"22",3,98,"Lombardia","Lodi","Bertonico",98002,3,20,118,0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
