country,deaths,recovered,cases,tests,location,overallifrest,overallifrlower,overallifrupper,cfr
Argentina,305,"1,757",6034,83018,ARG,.55614084,.38119894,.86512989,.050546899
Australia,97,"6,163",6941,827872,AUS,.77711946,.54266322,1.1745359,.013974932
Austria,618,"13,991",15871,316508,AUT,.95542872,.67360657,1.4238267,.038938947
Belgium,8656,"13,642",53081,566101,BEL,.97466373,.68864119,1.4495941,.16307153
Brazil,11123,"64,957",162699,339552,BRA,.45168424,.30288422,.721358,.068365507
Bulgaria,91,444,1965,57231,BGR,1.0033228,.7064755,1.4932612,.046310432
Canada,4870,"32,096",68848,1135984,CAN,.84553194,.5906108,1.2726896,.070735537
Chile,312,"13,112",28866,280684,CHL,.56995517,.38918492,.88709611,.010808564
China,4633,"78,120",82901,,CHN,.49885634,.33268657,.7935425,.055885937
Colombia,463,"2,705",11063,144912,COL,.39009732,.25731367,.63567054,.041851215
Costa Rica,6,501,792,17170,CRI,.40553182,.26901552,.65660131,.0075757578
Croatia,90,"1,764",2187,44886,HRV,1.0038185,.70720512,1.4932237,.041152265
Cyprus,16,401,898,76139,CYP,.76401466,.53236252,1.156473,.017817372
Czechia,280,"4,474",8123,302493,CZE,.90221274,.63191217,1.3526207,.034470022
Denmark,529,"8,217",10429,317834,DNK,.9486925,.66814995,1.4147583,.050723944
Estonia,60,750,1739,63372,EST,.99466634,.70312345,1.4775361,.034502588
Finland,267,"4,000",5962,121500,FIN,1.0494064,.74217665,1.5547458,.044783629
France,26380,"56,217",176970,1384633,FRA,1.0159103,.7193042,1.5067774,.14906481
Germany,7569,"144,400",171879,2755770,DEU,1.1138551,.79104066,1.6435632,.044036794
Greece,151,"1,374",2716,98897,GRC,1.1563731,.8245309,1.7008648,.055596467
Hungary,413,933,3263,108257,HUN,.91717553,.64276791,1.3736427,.12657064
Iceland,10,"1,773",1801,54195,ISL,.69975519,.48487404,1.0676,.0055524707
India,2212,"20,969",67161,1609037,IND,.29392272,.18715428,.50084245,.03293578
Indonesia,973,"2,698",14032,158273,IDN,.27686641,.17355333,.47891125,.069341503
Ireland,1458,"17,110",22996,214761,IRL,.67937118,.4698315,1.0400046,.063402332
Israel,252,"11,430",16477,455267,ISR,.57715666,.39651027,.89480734,.015294046
Italy,30560,"105,186",219070,2565912,ITA,1.1903572,.84871417,1.7494571,.13949879
Japan,624,"8,127",15777,214256,JPN,1.4420238,1.0371932,2.0959048,.039551247
Latvia,18,464,939,76592,LVA,1.0205299,.72143352,1.5144998,.019169329
Lithuania,50,828,1479,183913,LTU,1.0156755,.71798772,1.5077851,.033806626
Luxembourg,101,"3,586",3886,55250,LUX,.73630255,.51212573,1.1189151,.025990736
Malta,5,433,496,40493,MLT,.89229494,.62654954,1.3353745,.010080645
Mexico,3353,"21,824",33460,128148,MEX,.36382136,.2392381,.59781927,.10020921
Netherlands,5440,N/A,42627,254573,NLD,.92830712,.6520167,1.3877521,.12761864
New Zealand,21,"1,371",1494,190326,NZL,.74694991,.51930326,1.1338239,.014056225
Norway,219,32,8105,195921,NOR,.8439101,.59134221,1.26847,.027020358
Poland,800,"5,698",15996,476904,POL,.82741809,.57652283,1.2481601,.050012503
Portugal,1135,"2,549",27581,517660,PRT,1.111835,.78972858,1.6411608,.041151516
Romania,961,"7,051",15362,256749,ROU,.88966542,.62299168,1.3349522,.06255696
Russia,1915,"34,306",209688,5448463,RUS,.70905977,.48872516,1.0842122,.0091326162
Saudi Arabia,246,"11,457",39048,449644,SAU,.17985229,.10568233,.33985603,.0062999385
Singapore,20,"2,721",23336,175604,SGP,.63544476,.43233106,.98464262,.00085704488
Slovakia,26,941,1457,119859,SVK,.73248929,.50562578,1.1173679,.017844887
Slovenia,102,256,1457,62828,SVN,.97678393,.68732959,1.4560021,.070006862
South Africa,194,"4,173",10015,341336,ZAF,.27434626,.1745981,.47098914,.019370943
South Korea,256,"9,610",10874,663886,KOR,.7069217,.48663938,1.0827565,.023542395
Spain,26621,"176,439",264663,2467761,ESP,1.0232687,.72532636,1.5173422,.10058451
Sweden,3225,"4,971",26322,148500,SWE,.99004543,.70075768,1.4696904,.12252109
Switzerland,1833,"26,600",30305,309595,CHE,.94500351,.6666078,1.4086448,.060485069
Turkey,3786,"92,691",138657,1370598,TUR,.42194587,.28064582,.6804772,.027304787
United Kingdom,31855,N/A,219183,1821280,GBR,.92722976,.65402627,1.3829135,.14533518
United States,80787,"256,336",1367638,9444525,USA,.78365624,.54547817,1.1858822,.059070457
