"","50%","2.5%","97.5%"
"1",1.3102,0.9395,1.9052
"2",0.0506,0.0035,0.174
"3",4.1651,3.0611,5.8291
"delta[1]",0.0016,0,0.0083
"delta[2]",0.0049,0.0012,0.013
"delta[3]",0.0216,0.0106,0.0382
"delta[4]",0.0678,0.0454,0.0955
"delta[5]",0.148,0.109,0.197
"delta[6]",0.4475,0.3698,0.5351
"delta[7]",1.98,1.785,2.187
"theta_i[1]",36.12,24.17,51.36
"theta_i[2]",22.59,6.409,52.21
"theta_i[3]",83.96,62.12,97.1
"theta_i[4]",52.83,37.08,71.59
"theta_i[5]",56.26,29.57,86.39
"theta_i[6]",78.27,54.74,95.65
"theta_i[7]",40.89,17.27,73.29
"theta_i[8]",28.42,12.56,51.96
"theta_i[9]",31.63,8.45,71.9
"deltaCovid[1]",0.0374,0.0031,0.1354
"deltaCovid[2]",0.025,0.0012,0.1107
"deltaCovid[3]",0.0532,0.0028,0.1907
"deltaCovid[4]",0.0951,0.0075,0.2799
"deltaCovid[5]",0.9353,0.5422,1.482
"deltaCovid[6]",4.579,3.381,6.363
"deltaCovid[7]",8.461,6.414,11.64
